ship_id,year,ship_type,age,ism_score,crew_exp,k4k,dp_ops,weather_risk,failed_audit,mu,accidents
1,1,offshore,24,88.29178019453806,23.45523986130274,1,1,0,0,0.007962802247982577,0
1,2,offshore,18,57.23636231378744,14.169610944798066,1,1,0,0,0.033314810263125744,0
1,3,offshore,20,66.4910953062287,18.860092553357497,1,1,0,0,0.01983726650891537,0
1,4,offshore,6,94.0501786223754,12.681811671026923,1,1,1,0,0.025839606323706105,0
1,5,offshore,28,82.51034518676774,7.738536698580539,1,1,0,0,0.02317250305293973,0
2,1,container,3,83.64734482538363,23.873724328574877,0,0,0,0,0.002847416220167639,0
2,2,container,23,62.08136856005706,12.646716982631578,0,0,0,0,0.015840525007478876,0
2,3,container,15,94.55242325469185,4.362016365676577,0,0,0,0,0.006555600003779684,0
2,4,container,29,63.34295646415093,11.074740554710637,0,0,0,0,0.018486020078741318,0
2,5,container,8,81.58850947659666,20.099024066466427,0,0,1,0,0.013561111443021794,0
3,1,offshore,25,56.97687275274849,24.564181319452747,1,0,0,0,0.015415225142731914,0
3,2,offshore,5,73.5009467024662,19.47984527436666,1,0,0,0,0.007472501983960447,0
3,3,offshore,23,56.22588915880106,4.1858901338312755,0,1,1,0,0.26788416092949624,0
3,4,offshore,26,51.14078345369559,24.1035619522702,1,1,0,0,0.029448699822736513,0
3,5,offshore,22,82.1568165215028,16.84473704122555,1,1,0,1,0.02657656596313593,0
4,1,offshore,12,75.47167447223343,4.807514743419785,1,1,0,0,0.02492499051442108,0
4,2,offshore,5,71.33782230892963,3.3480198556240355,1,1,0,0,0.02693780001873509,0
4,3,offshore,5,89.90061742841215,7.261446960201135,1,1,0,1,0.023293196470958094,0
4,4,offshore,16,78.9088675192842,1.6362714529989235,1,1,0,1,0.05649382517021908,0
4,5,offshore,19,86.928776408478,16.02255208243775,1,1,0,0,0.010958555775881106,0
5,1,offshore,29,54.24993323401678,17.392162561992563,1,0,0,0,0.026295543803330983,0
5,2,offshore,4,81.18006614113727,9.360078506876736,1,1,1,0,0.04599115239261284,0
5,3,offshore,24,86.30756326702688,24.77212340801616,1,1,0,0,0.007991547289112477,0
5,4,offshore,17,80.59301509551106,18.757810250736988,1,1,0,0,0.011462825545581215,0
5,5,offshore,19,67.51407554303734,1.2601036355271606,1,1,1,0,0.15016841834389796,0
6,1,offshore,15,53.74779850378668,3.200899534203546,1,1,0,0,0.06134645305918857,0
6,2,offshore,21,72.24891371161617,2.381410240399463,1,1,0,0,0.03771179035436379,0
6,3,offshore,10,87.66337434068183,21.804848927460192,1,1,0,0,0.006681180748494742,0
6,4,offshore,29,53.81769713383363,24.679349884028213,1,1,0,0,0.027665008541472583,0
6,5,offshore,6,81.86815380124399,12.560007711138768,1,1,0,0,0.011993556057926447,0
7,1,offshore,18,71.08972888973568,2.3512786163640964,1,1,0,0,0.03704194195606761,0
7,2,offshore,28,62.85704388268373,21.846379076547045,0,1,0,1,0.05887636808981154,0
7,3,offshore,22,91.60894986006181,23.058777166687825,1,1,0,0,0.006948342733607362,0
7,4,offshore,1,78.24011360378286,15.023543486154406,1,1,1,0,0.03616797752339299,0
7,5,offshore,28,65.10470291586334,5.072317693493573,1,1,0,0,0.04869005463301674,0
8,1,offshore,27,81.41727713088854,13.866312792258888,1,1,0,0,0.01737156961603817,0
8,2,offshore,18,68.74875759823156,14.947902908339831,1,1,1,0,0.0711047127223287,0
8,3,offshore,22,86.47489988518248,24.694627103558666,1,1,0,0,0.007662991385524998,0
8,4,offshore,2,51.65698404361961,4.212450851215197,1,1,0,0,0.04838250565118867,0
8,5,offshore,23,84.60443368312298,23.67437751717827,1,1,0,0,0.00878355500897205,0
9,1,offshore,1,80.22653079826355,15.8350777709895,1,1,0,0,0.009757857057078757,0
9,2,offshore,12,86.73735808458781,24.23137037055575,1,1,0,0,0.006362231798391999,0
9,3,offshore,14,81.68358956446505,6.111139876213858,1,1,0,0,0.019555814330326524,0
9,4,offshore,2,65.67149601604851,13.335747739835458,1,1,0,0,0.0187738610262397,0
9,5,offshore,24,87.89411367584194,19.45402579156954,1,1,0,0,0.009862700453179692,0
10,1,offshore,11,53.413849764889875,4.093113325855581,1,1,0,0,0.054795872453092115,0
10,2,offshore,3,89.34429221844877,13.365665316741062,1,1,1,0,0.02772741917452788,0
10,3,offshore,22,53.991614019067505,3.8952609064144195,1,1,0,0,0.06757822008166062,0
10,4,offshore,25,71.65154273253319,17.50683321030599,1,0,0,0,0.013126191992474338,0
10,5,offshore,3,58.30344587103698,6.024383760081047,1,1,0,0,0.035727313685788374,0
11,1,offshore,14,56.6482591357802,4.194806286099478,1,0,0,0,0.03465097607960955,0
11,2,offshore,19,60.91117266356284,7.461837542785143,1,1,0,0,0.04179481791910247,0
11,3,offshore,17,65.43170889252171,12.375278594333349,1,1,0,0,0.026812857717037446,0
11,4,offshore,8,69.42467958033558,4.06192726709353,1,1,0,0,0.029511945993719226,0
11,5,offshore,5,92.01613206919436,1.1808247152177938,1,1,0,0,0.0145581273845623,0
12,1,bulk,24,90.35444410818914,2.925609895879413,1,0,0,0,0.009291214166915716,0
12,2,bulk,4,50.23850028789224,24.40161191068342,1,0,0,0,0.008665305448402648,0
12,3,bulk,13,84.62718199363715,5.489049965380561,0,0,0,0,0.010291840645219562,0
12,4,bulk,6,76.15571996401755,4.7047051665808555,0,0,0,0,0.012516775967313981,0
12,5,bulk,12,59.07787080486061,17.429717149116,0,0,0,0,0.013579264272175134,0
13,1,offshore,3,65.69907199443479,23.30869946194782,1,1,0,1,0.023402732430472677,0
13,2,offshore,3,91.69022406153701,18.31831721803065,1,1,0,0,0.00600553519181905,0
13,3,offshore,5,86.6558624104122,16.964733296708804,1,1,0,0,0.007977008207166814,0
13,4,offshore,14,90.4850350381478,15.978437060364103,1,1,0,0,0.008774565036459772,0
13,5,offshore,21,90.7912449934046,15.98171190193581,1,1,0,1,0.02010515217063536,0
14,1,offshore,29,72.29406318817846,18.79506186733709,1,1,0,1,0.039162120820748485,0
14,2,offshore,4,75.64503581920924,19.299008457776573,1,1,1,0,0.033961536418361686,0
14,3,offshore,24,72.60297563581386,13.956655290708081,1,0,0,0,0.014862159729578682,0
14,4,offshore,26,61.33095765081288,9.296703844094067,1,1,0,1,0.0870372831663851,0
14,5,offshore,12,91.03335839793341,4.338788659433485,1,1,0,0,0.014800312598729541,0
15,1,offshore,5,91.5124721529783,17.973727223521568,1,1,0,0,0.0063989402610993285,0
15,2,offshore,22,90.98087892150708,3.947458764297611,1,1,0,0,0.018468222981572968,0
15,3,offshore,19,76.60739460852182,10.576064892883126,1,0,0,0,0.013841803093691199,0
15,4,offshore,25,88.85831632758305,23.151045563163635,1,1,0,0,0.008086224455435012,0
15,5,offshore,22,57.93741439278005,12.960826545747514,1,1,0,1,0.07533195755909004,0
16,1,offshore,21,73.18281570830656,24.41299157638615,1,1,0,0,0.012130308438479166,0
16,2,offshore,13,67.8793151955919,11.242933728081987,1,1,0,0,0.02404272751832717,0
16,3,offshore,19,52.95688877427585,19.612662800680255,1,1,0,0,0.030073098417500044,0
16,4,offshore,1,65.0463265089717,2.8120807312933414,1,1,0,0,0.031833838079820403,1
16,5,offshore,7,79.65157738595681,1.6503038200836038,1,0,0,0,0.015293606717513343,0
